"startTime";"endTime";"Electricity production in Finland"
"2026-02-16T22:00:00.000Z";"2026-02-16T22:15:00.000Z";11830.9
"2026-02-16T22:15:00.000Z";"2026-02-16T22:30:00.000Z";11755.3
"2026-02-16T22:30:00.000Z";"2026-02-16T22:45:00.000Z";11677.1
"2026-02-16T22:45:00.000Z";"2026-02-16T23:00:00.000Z";11767.9
"2026-02-16T23:00:00.000Z";"2026-02-16T23:15:00.000Z";11690
"2026-02-16T23:15:00.000Z";"2026-02-16T23:30:00.000Z";11611.4
"2026-02-16T23:30:00.000Z";"2026-02-16T23:45:00.000Z";11530.8
"2026-02-16T23:45:00.000Z";"2026-02-17T00:00:00.000Z";11460.5
"2026-02-17T00:00:00.000Z";"2026-02-17T00:15:00.000Z";11378.9
"2026-02-17T00:15:00.000Z";"2026-02-17T00:30:00.000Z";11297.6
"2026-02-17T00:30:00.000Z";"2026-02-17T00:45:00.000Z";11324.8
"2026-02-17T00:45:00.000Z";"2026-02-17T01:00:00.000Z";11344.5
"2026-02-17T01:00:00.000Z";"2026-02-17T01:15:00.000Z";11371.3
"2026-02-17T01:15:00.000Z";"2026-02-17T01:30:00.000Z";11346.8
"2026-02-17T01:30:00.000Z";"2026-02-17T01:45:00.000Z";11325.2
"2026-02-17T01:45:00.000Z";"2026-02-17T02:00:00.000Z";11343.9
"2026-02-17T02:00:00.000Z";"2026-02-17T02:15:00.000Z";11371.5
"2026-02-17T02:15:00.000Z";"2026-02-17T02:30:00.000Z";11417.5
"2026-02-17T02:30:00.000Z";"2026-02-17T02:45:00.000Z";11438.3
"2026-02-17T02:45:00.000Z";"2026-02-17T03:00:00.000Z";11495.4
"2026-02-17T03:00:00.000Z";"2026-02-17T03:15:00.000Z";11572.2
"2026-02-17T03:15:00.000Z";"2026-02-17T03:30:00.000Z";11540.4
"2026-02-17T03:30:00.000Z";"2026-02-17T03:45:00.000Z";11579.1
"2026-02-17T03:45:00.000Z";"2026-02-17T04:00:00.000Z";11676.7
"2026-02-17T04:00:00.000Z";"2026-02-17T04:15:00.000Z";11852.5
"2026-02-17T04:15:00.000Z";"2026-02-17T04:30:00.000Z";11893.4
"2026-02-17T04:30:00.000Z";"2026-02-17T04:45:00.000Z";11920.8
"2026-02-17T04:45:00.000Z";"2026-02-17T05:00:00.000Z";12142.5
"2026-02-17T05:00:00.000Z";"2026-02-17T05:15:00.000Z";12266.3
"2026-02-17T05:15:00.000Z";"2026-02-17T05:30:00.000Z";12358.1
"2026-02-17T05:30:00.000Z";"2026-02-17T05:45:00.000Z";12387.4
"2026-02-17T05:45:00.000Z";"2026-02-17T06:00:00.000Z";12453
"2026-02-17T06:00:00.000Z";"2026-02-17T06:15:00.000Z";12616.1
"2026-02-17T06:15:00.000Z";"2026-02-17T06:30:00.000Z";12717
"2026-02-17T06:30:00.000Z";"2026-02-17T06:45:00.000Z";12668.5
"2026-02-17T06:45:00.000Z";"2026-02-17T07:00:00.000Z";12652.7
"2026-02-17T07:00:00.000Z";"2026-02-17T07:15:00.000Z";12661.8
"2026-02-17T07:15:00.000Z";"2026-02-17T07:30:00.000Z";12618.8
"2026-02-17T07:30:00.000Z";"2026-02-17T07:45:00.000Z";12644.2
"2026-02-17T07:45:00.000Z";"2026-02-17T08:00:00.000Z";12589.6
"2026-02-17T08:00:00.000Z";"2026-02-17T08:15:00.000Z";12562.6
"2026-02-17T08:15:00.000Z";"2026-02-17T08:30:00.000Z";12542.4
"2026-02-17T08:30:00.000Z";"2026-02-17T08:45:00.000Z";12605.4
"2026-02-17T08:45:00.000Z";"2026-02-17T09:00:00.000Z";12659.4
"2026-02-17T09:00:00.000Z";"2026-02-17T09:15:00.000Z";12634.5
"2026-02-17T09:15:00.000Z";"2026-02-17T09:30:00.000Z";12518
"2026-02-17T09:30:00.000Z";"2026-02-17T09:45:00.000Z";12549
"2026-02-17T09:45:00.000Z";"2026-02-17T10:00:00.000Z";12534.1
"2026-02-17T10:00:00.000Z";"2026-02-17T10:15:00.000Z";12515.5
"2026-02-17T10:15:00.000Z";"2026-02-17T10:30:00.000Z";12485.6
"2026-02-17T10:30:00.000Z";"2026-02-17T10:45:00.000Z";12505.5
"2026-02-17T10:45:00.000Z";"2026-02-17T11:00:00.000Z";12519.7
"2026-02-17T11:00:00.000Z";"2026-02-17T11:15:00.000Z";12455.8
"2026-02-17T11:15:00.000Z";"2026-02-17T11:30:00.000Z";12487.5
"2026-02-17T11:30:00.000Z";"2026-02-17T11:45:00.000Z";12505.7
"2026-02-17T11:45:00.000Z";"2026-02-17T12:00:00.000Z";12566.9
"2026-02-17T12:00:00.000Z";"2026-02-17T12:15:00.000Z";12561.6
"2026-02-17T12:15:00.000Z";"2026-02-17T12:30:00.000Z";12524.3
"2026-02-17T12:30:00.000Z";"2026-02-17T12:45:00.000Z";12546.8
"2026-02-17T12:45:00.000Z";"2026-02-17T13:00:00.000Z";12514.9
"2026-02-17T13:00:00.000Z";"2026-02-17T13:15:00.000Z";12415.8
"2026-02-17T13:15:00.000Z";"2026-02-17T13:30:00.000Z";12440.8
"2026-02-17T13:30:00.000Z";"2026-02-17T13:45:00.000Z";12403.2
"2026-02-17T13:45:00.000Z";"2026-02-17T14:00:00.000Z";12387.6
"2026-02-17T14:00:00.000Z";"2026-02-17T14:15:00.000Z";12420.5
"2026-02-17T14:15:00.000Z";"2026-02-17T14:30:00.000Z";12455
"2026-02-17T14:30:00.000Z";"2026-02-17T14:45:00.000Z";12488.7
"2026-02-17T14:45:00.000Z";"2026-02-17T15:00:00.000Z";12545.8
"2026-02-17T15:00:00.000Z";"2026-02-17T15:15:00.000Z";12562.2
"2026-02-17T15:15:00.000Z";"2026-02-17T15:30:00.000Z";12678.1
"2026-02-17T15:30:00.000Z";"2026-02-17T15:45:00.000Z";12837.3
"2026-02-17T15:45:00.000Z";"2026-02-17T16:00:00.000Z";12863.8
"2026-02-17T16:00:00.000Z";"2026-02-17T16:15:00.000Z";12830
"2026-02-17T16:15:00.000Z";"2026-02-17T16:30:00.000Z";12969
"2026-02-17T16:30:00.000Z";"2026-02-17T16:45:00.000Z";13111.9
"2026-02-17T16:45:00.000Z";"2026-02-17T17:00:00.000Z";13179
"2026-02-17T17:00:00.000Z";"2026-02-17T17:15:00.000Z";12989
"2026-02-17T17:15:00.000Z";"2026-02-17T17:30:00.000Z";12827.1
"2026-02-17T17:30:00.000Z";"2026-02-17T17:45:00.000Z";12793.5
"2026-02-17T17:45:00.000Z";"2026-02-17T18:00:00.000Z";12826.7
"2026-02-17T18:00:00.000Z";"2026-02-17T18:15:00.000Z";12900.5
"2026-02-17T18:15:00.000Z";"2026-02-17T18:30:00.000Z";12923.9
"2026-02-17T18:30:00.000Z";"2026-02-17T18:45:00.000Z";12797.6
"2026-02-17T18:45:00.000Z";"2026-02-17T19:00:00.000Z";12673
"2026-02-17T19:00:00.000Z";"2026-02-17T19:15:00.000Z";12718.6
"2026-02-17T19:15:00.000Z";"2026-02-17T19:30:00.000Z";12756.1
"2026-02-17T19:30:00.000Z";"2026-02-17T19:45:00.000Z";12700
"2026-02-17T19:45:00.000Z";"2026-02-17T20:00:00.000Z";12597
"2026-02-17T20:00:00.000Z";"2026-02-17T20:15:00.000Z";12674
"2026-02-17T20:15:00.000Z";"2026-02-17T20:30:00.000Z";12787.4
"2026-02-17T20:30:00.000Z";"2026-02-17T20:45:00.000Z";12807.9
"2026-02-17T20:45:00.000Z";"2026-02-17T21:00:00.000Z";12844.1
"2026-02-17T21:00:00.000Z";"2026-02-17T21:15:00.000Z";12805.6
"2026-02-17T21:15:00.000Z";"2026-02-17T21:30:00.000Z";12742.8
"2026-02-17T21:30:00.000Z";"2026-02-17T21:45:00.000Z";12680.2
"2026-02-17T21:45:00.000Z";"2026-02-17T22:00:00.000Z";12751.6
"2026-02-17T22:00:00.000Z";"2026-02-17T22:15:00.000Z";12847.8
"2026-02-17T22:15:00.000Z";"2026-02-17T22:30:00.000Z";12845.2
"2026-02-17T22:30:00.000Z";"2026-02-17T22:45:00.000Z";12829.2
"2026-02-17T22:45:00.000Z";"2026-02-17T23:00:00.000Z";12766.2
"2026-02-17T23:00:00.000Z";"2026-02-17T23:15:00.000Z";12787.2
"2026-02-17T23:15:00.000Z";"2026-02-17T23:30:00.000Z";12882.4
"2026-02-17T23:30:00.000Z";"2026-02-17T23:45:00.000Z";12988.9
"2026-02-17T23:45:00.000Z";"2026-02-18T00:00:00.000Z";13074.1
"2026-02-18T00:00:00.000Z";"2026-02-18T00:15:00.000Z";13032.3
"2026-02-18T00:15:00.000Z";"2026-02-18T00:30:00.000Z";13043.3
"2026-02-18T00:30:00.000Z";"2026-02-18T00:45:00.000Z";13033.3
"2026-02-18T00:45:00.000Z";"2026-02-18T01:00:00.000Z";13003.2
"2026-02-18T01:00:00.000Z";"2026-02-18T01:15:00.000Z";12989.8
"2026-02-18T01:15:00.000Z";"2026-02-18T01:30:00.000Z";12919.9
"2026-02-18T01:30:00.000Z";"2026-02-18T01:45:00.000Z";12901.2
"2026-02-18T01:45:00.000Z";"2026-02-18T02:00:00.000Z";12946.4
"2026-02-18T02:00:00.000Z";"2026-02-18T02:15:00.000Z";12955.9
"2026-02-18T02:15:00.000Z";"2026-02-18T02:30:00.000Z";12894.3
"2026-02-18T02:30:00.000Z";"2026-02-18T02:45:00.000Z";12892.5
"2026-02-18T02:45:00.000Z";"2026-02-18T03:00:00.000Z";12913.1
"2026-02-18T03:00:00.000Z";"2026-02-18T03:15:00.000Z";13078.2
"2026-02-18T03:15:00.000Z";"2026-02-18T03:30:00.000Z";13146.4
"2026-02-18T03:30:00.000Z";"2026-02-18T03:45:00.000Z";13214.6
"2026-02-18T03:45:00.000Z";"2026-02-18T04:00:00.000Z";13319.3
"2026-02-18T04:00:00.000Z";"2026-02-18T04:15:00.000Z";13534.7
"2026-02-18T04:15:00.000Z";"2026-02-18T04:30:00.000Z";13578.5
"2026-02-18T04:30:00.000Z";"2026-02-18T04:45:00.000Z";13590.8
"2026-02-18T04:45:00.000Z";"2026-02-18T05:00:00.000Z";13760
"2026-02-18T05:00:00.000Z";"2026-02-18T05:15:00.000Z";13833
"2026-02-18T05:15:00.000Z";"2026-02-18T05:30:00.000Z";13889.2
"2026-02-18T05:30:00.000Z";"2026-02-18T05:45:00.000Z";13930.9
"2026-02-18T05:45:00.000Z";"2026-02-18T06:00:00.000Z";13857.3
"2026-02-18T06:00:00.000Z";"2026-02-18T06:15:00.000Z";13973.1
"2026-02-18T06:15:00.000Z";"2026-02-18T06:30:00.000Z";14172.5
"2026-02-18T06:30:00.000Z";"2026-02-18T06:45:00.000Z";14253.3
"2026-02-18T06:45:00.000Z";"2026-02-18T07:00:00.000Z";14343
"2026-02-18T07:00:00.000Z";"2026-02-18T07:15:00.000Z";14500.3
"2026-02-18T07:15:00.000Z";"2026-02-18T07:30:00.000Z";14289
"2026-02-18T07:30:00.000Z";"2026-02-18T07:45:00.000Z";14112.3
"2026-02-18T07:45:00.000Z";"2026-02-18T08:00:00.000Z";14012
"2026-02-18T08:00:00.000Z";"2026-02-18T08:15:00.000Z";13894.7
"2026-02-18T08:15:00.000Z";"2026-02-18T08:30:00.000Z";13565.1
"2026-02-18T08:30:00.000Z";"2026-02-18T08:45:00.000Z";13399.9
"2026-02-18T08:45:00.000Z";"2026-02-18T09:00:00.000Z";13276.8
"2026-02-18T09:00:00.000Z";"2026-02-18T09:15:00.000Z";13153.1
"2026-02-18T09:15:00.000Z";"2026-02-18T09:30:00.000Z";12977.5
"2026-02-18T09:30:00.000Z";"2026-02-18T09:45:00.000Z";12909
"2026-02-18T09:45:00.000Z";"2026-02-18T10:00:00.000Z";12771.7
"2026-02-18T10:00:00.000Z";"2026-02-18T10:15:00.000Z";12588.3
"2026-02-18T10:15:00.000Z";"2026-02-18T10:30:00.000Z";12532
"2026-02-18T10:30:00.000Z";"2026-02-18T10:45:00.000Z";12480.7
"2026-02-18T10:45:00.000Z";"2026-02-18T11:00:00.000Z";12407.3
"2026-02-18T11:00:00.000Z";"2026-02-18T11:15:00.000Z";12347.7
"2026-02-18T11:15:00.000Z";"2026-02-18T11:30:00.000Z";12309.3
"2026-02-18T11:30:00.000Z";"2026-02-18T11:45:00.000Z";12372.1
"2026-02-18T11:45:00.000Z";"2026-02-18T12:00:00.000Z";12368.9
"2026-02-18T12:00:00.000Z";"2026-02-18T12:15:00.000Z";12306.5
"2026-02-18T12:15:00.000Z";"2026-02-18T12:30:00.000Z";12196.2
"2026-02-18T12:30:00.000Z";"2026-02-18T12:45:00.000Z";12189.5
"2026-02-18T12:45:00.000Z";"2026-02-18T13:00:00.000Z";12107
"2026-02-18T13:00:00.000Z";"2026-02-18T13:15:00.000Z";12048.9
