"startTime";"endTime";"Small-scale electricity surplus production by production type at accounting points in Finnish distribution networks";"TimeSeriesType";"Res";"Uom";"ProductionType";"ReadTS";"Value";"Count"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";2082.119;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV01";"2026-02-16T22:00:00Z";"2082.119";"77"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";184.06;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV02";"2026-02-16T22:00:00Z";"184.06";"69"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";984.472;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV04";"2026-02-16T22:00:00Z";"984.472";"14"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";0.126;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV05";"2026-02-16T22:00:00Z";"0.126";"57"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";963.498;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV06";"2026-02-16T22:00:00Z";"963.498";"115096"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV07";"2026-02-16T22:00:00Z";"0";"22"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV08";"2026-02-16T22:00:00Z";"0";"16"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";357.733;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV09";"2026-02-16T22:00:00Z";"357.733";"44"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";944.878;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV10";"2026-02-16T22:00:00Z";"944.878";"5080"
"2026-02-16T22:00:00.000Z";"2026-02-16T23:00:00.000Z";169.521;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV12";"2026-02-16T22:00:00Z";"169.521";"297"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";1976.768;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV01";"2026-02-16T23:00:00Z";"1976.768";"77"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";660.001;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV02";"2026-02-16T23:00:00Z";"660.001";"69"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";1010.688;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV04";"2026-02-16T23:00:00Z";"1010.688";"14"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";0.064;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV05";"2026-02-16T23:00:00Z";"0.064";"57"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";1067.738;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV06";"2026-02-16T23:00:00Z";"1067.738";"115096"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV07";"2026-02-16T23:00:00Z";"0";"22"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV08";"2026-02-16T23:00:00Z";"0";"16"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";417.793;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV09";"2026-02-16T23:00:00Z";"417.793";"44"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";880.916;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV10";"2026-02-16T23:00:00Z";"880.916";"5080"
"2026-02-16T23:00:00.000Z";"2026-02-17T00:00:00.000Z";590.037;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV12";"2026-02-16T23:00:00Z";"590.037";"297"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";1685.305;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV01";"2026-02-17T00:00:00Z";"1685.305";"77"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";508;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV02";"2026-02-17T00:00:00Z";"508";"69"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";1005.024;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV04";"2026-02-17T00:00:00Z";"1005.024";"14"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";0.096;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV05";"2026-02-17T00:00:00Z";"0.096";"57"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";933.658;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV06";"2026-02-17T00:00:00Z";"933.658";"115096"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV07";"2026-02-17T00:00:00Z";"0";"22"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV08";"2026-02-17T00:00:00Z";"0";"16"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";390.83;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV09";"2026-02-17T00:00:00Z";"390.83";"44"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";323.351;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV10";"2026-02-17T00:00:00Z";"323.351";"5080"
"2026-02-17T00:00:00.000Z";"2026-02-17T01:00:00.000Z";101.673;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV12";"2026-02-17T00:00:00Z";"101.673";"297"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";1686.894;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV01";"2026-02-17T01:00:00Z";"1686.894";"77"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";743.005;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV02";"2026-02-17T01:00:00Z";"743.005";"69"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";987.742;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV04";"2026-02-17T01:00:00Z";"987.742";"14"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";0.116;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV05";"2026-02-17T01:00:00Z";"0.116";"57"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";906.214;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV06";"2026-02-17T01:00:00Z";"906.214";"115096"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV07";"2026-02-17T01:00:00Z";"0";"22"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV08";"2026-02-17T01:00:00Z";"0";"16"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";391.858;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV09";"2026-02-17T01:00:00Z";"391.858";"44"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";560.677;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV10";"2026-02-17T01:00:00Z";"560.677";"5080"
"2026-02-17T01:00:00.000Z";"2026-02-17T02:00:00.000Z";115.515;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV12";"2026-02-17T01:00:00Z";"115.515";"297"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";1958.921;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV01";"2026-02-17T02:00:00Z";"1958.921";"77"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";871.001;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV02";"2026-02-17T02:00:00Z";"871.001";"69"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";1026.348;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV04";"2026-02-17T02:00:00Z";"1026.348";"14"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";0.02;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV05";"2026-02-17T02:00:00Z";"0.02";"57"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";906.57;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV06";"2026-02-17T02:00:00Z";"906.57";"115096"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV07";"2026-02-17T02:00:00Z";"0";"22"
"2026-02-17T02:00:00.000Z";"2026-02-17T03:00:00.000Z";0;"CTT_SUM_PROD_ACP_PRODTYPE";"PT1H";"KWH";"AV08";"2026-02-17T02:00:00Z";"0";"16"
