"startTime";"endTime";"Electricity consumption in Finland"
"2026-02-16T22:00:00.000Z";"2026-02-16T22:15:00.000Z";13188.2
"2026-02-16T22:15:00.000Z";"2026-02-16T22:30:00.000Z";13232.5
"2026-02-16T22:30:00.000Z";"2026-02-16T22:45:00.000Z";13137.3
"2026-02-16T22:45:00.000Z";"2026-02-16T23:00:00.000Z";12916
"2026-02-16T23:00:00.000Z";"2026-02-16T23:15:00.000Z";12778.8
"2026-02-16T23:15:00.000Z";"2026-02-16T23:30:00.000Z";12667.2
"2026-02-16T23:30:00.000Z";"2026-02-16T23:45:00.000Z";12590.5
"2026-02-16T23:45:00.000Z";"2026-02-17T00:00:00.000Z";12472.3
"2026-02-17T00:00:00.000Z";"2026-02-17T00:15:00.000Z";12449
"2026-02-17T00:15:00.000Z";"2026-02-17T00:30:00.000Z";12532.8
"2026-02-17T00:30:00.000Z";"2026-02-17T00:45:00.000Z";12478.6
"2026-02-17T00:45:00.000Z";"2026-02-17T01:00:00.000Z";12412.5
"2026-02-17T01:00:00.000Z";"2026-02-17T01:15:00.000Z";12370.8
"2026-02-17T01:15:00.000Z";"2026-02-17T01:30:00.000Z";12324.4
"2026-02-17T01:30:00.000Z";"2026-02-17T01:45:00.000Z";12417.3
"2026-02-17T01:45:00.000Z";"2026-02-17T02:00:00.000Z";12482
"2026-02-17T02:00:00.000Z";"2026-02-17T02:15:00.000Z";12393.7
"2026-02-17T02:15:00.000Z";"2026-02-17T02:30:00.000Z";12440.1
"2026-02-17T02:30:00.000Z";"2026-02-17T02:45:00.000Z";12494.5
"2026-02-17T02:45:00.000Z";"2026-02-17T03:00:00.000Z";12483.2
"2026-02-17T03:00:00.000Z";"2026-02-17T03:15:00.000Z";12496.4
"2026-02-17T03:15:00.000Z";"2026-02-17T03:30:00.000Z";12599
"2026-02-17T03:30:00.000Z";"2026-02-17T03:45:00.000Z";12753.6
"2026-02-17T03:45:00.000Z";"2026-02-17T04:00:00.000Z";12868.4
"2026-02-17T04:00:00.000Z";"2026-02-17T04:15:00.000Z";13135.8
"2026-02-17T04:15:00.000Z";"2026-02-17T04:30:00.000Z";13232.7
"2026-02-17T04:30:00.000Z";"2026-02-17T04:45:00.000Z";13455.7
"2026-02-17T04:45:00.000Z";"2026-02-17T05:00:00.000Z";13477.7
"2026-02-17T05:00:00.000Z";"2026-02-17T05:15:00.000Z";13448.3
"2026-02-17T05:15:00.000Z";"2026-02-17T05:30:00.000Z";13452.5
"2026-02-17T05:30:00.000Z";"2026-02-17T05:45:00.000Z";13509.8
"2026-02-17T05:45:00.000Z";"2026-02-17T06:00:00.000Z";13451.2
"2026-02-17T06:00:00.000Z";"2026-02-17T06:15:00.000Z";13343.8
"2026-02-17T06:15:00.000Z";"2026-02-17T06:30:00.000Z";13404.2
"2026-02-17T06:30:00.000Z";"2026-02-17T06:45:00.000Z";13377.3
"2026-02-17T06:45:00.000Z";"2026-02-17T07:00:00.000Z";13460.2
"2026-02-17T07:00:00.000Z";"2026-02-17T07:15:00.000Z";13471.7
"2026-02-17T07:15:00.000Z";"2026-02-17T07:30:00.000Z";13523.5
"2026-02-17T07:30:00.000Z";"2026-02-17T07:45:00.000Z";13492
"2026-02-17T07:45:00.000Z";"2026-02-17T08:00:00.000Z";13400.8
"2026-02-17T08:00:00.000Z";"2026-02-17T08:15:00.000Z";13471.5
"2026-02-17T08:15:00.000Z";"2026-02-17T08:30:00.000Z";13533.8
"2026-02-17T08:30:00.000Z";"2026-02-17T08:45:00.000Z";13514.6
"2026-02-17T08:45:00.000Z";"2026-02-17T09:00:00.000Z";13458.4
"2026-02-17T09:00:00.000Z";"2026-02-17T09:15:00.000Z";13449.9
"2026-02-17T09:15:00.000Z";"2026-02-17T09:30:00.000Z";13642.8
"2026-02-17T09:30:00.000Z";"2026-02-17T09:45:00.000Z";13684.2
"2026-02-17T09:45:00.000Z";"2026-02-17T10:00:00.000Z";13694.5
"2026-02-17T10:00:00.000Z";"2026-02-17T10:15:00.000Z";13721.2
"2026-02-17T10:15:00.000Z";"2026-02-17T10:30:00.000Z";13631
"2026-02-17T10:30:00.000Z";"2026-02-17T10:45:00.000Z";13642.7
"2026-02-17T10:45:00.000Z";"2026-02-17T11:00:00.000Z";13650.5
"2026-02-17T11:00:00.000Z";"2026-02-17T11:15:00.000Z";13683.2
"2026-02-17T11:15:00.000Z";"2026-02-17T11:30:00.000Z";13624.9
"2026-02-17T11:30:00.000Z";"2026-02-17T11:45:00.000Z";13694.1
"2026-02-17T11:45:00.000Z";"2026-02-17T12:00:00.000Z";13559.2
"2026-02-17T12:00:00.000Z";"2026-02-17T12:15:00.000Z";13537.2
"2026-02-17T12:15:00.000Z";"2026-02-17T12:30:00.000Z";13540.5
"2026-02-17T12:30:00.000Z";"2026-02-17T12:45:00.000Z";13570.1
"2026-02-17T12:45:00.000Z";"2026-02-17T13:00:00.000Z";13410
"2026-02-17T13:00:00.000Z";"2026-02-17T13:15:00.000Z";13435.5
"2026-02-17T13:15:00.000Z";"2026-02-17T13:30:00.000Z";13336.5
"2026-02-17T13:30:00.000Z";"2026-02-17T13:45:00.000Z";13344.7
"2026-02-17T13:45:00.000Z";"2026-02-17T14:00:00.000Z";13335.3
"2026-02-17T14:00:00.000Z";"2026-02-17T14:15:00.000Z";13291.9
"2026-02-17T14:15:00.000Z";"2026-02-17T14:30:00.000Z";13300
"2026-02-17T14:30:00.000Z";"2026-02-17T14:45:00.000Z";13278.4
"2026-02-17T14:45:00.000Z";"2026-02-17T15:00:00.000Z";13205.8
"2026-02-17T15:00:00.000Z";"2026-02-17T15:15:00.000Z";13310.6
"2026-02-17T15:15:00.000Z";"2026-02-17T15:30:00.000Z";13375.2
"2026-02-17T15:30:00.000Z";"2026-02-17T15:45:00.000Z";13400
"2026-02-17T15:45:00.000Z";"2026-02-17T16:00:00.000Z";13514.2
"2026-02-17T16:00:00.000Z";"2026-02-17T16:15:00.000Z";13528.3
"2026-02-17T16:15:00.000Z";"2026-02-17T16:30:00.000Z";13526.8
"2026-02-17T16:30:00.000Z";"2026-02-17T16:45:00.000Z";13493
"2026-02-17T16:45:00.000Z";"2026-02-17T17:00:00.000Z";13485.9
"2026-02-17T17:00:00.000Z";"2026-02-17T17:15:00.000Z";13557.5
"2026-02-17T17:15:00.000Z";"2026-02-17T17:30:00.000Z";13637
"2026-02-17T17:30:00.000Z";"2026-02-17T17:45:00.000Z";13692.8
"2026-02-17T17:45:00.000Z";"2026-02-17T18:00:00.000Z";13592.5
"2026-02-17T18:00:00.000Z";"2026-02-17T18:15:00.000Z";13536.1
"2026-02-17T18:15:00.000Z";"2026-02-17T18:30:00.000Z";13609.7
"2026-02-17T18:30:00.000Z";"2026-02-17T18:45:00.000Z";13559.3
"2026-02-17T18:45:00.000Z";"2026-02-17T19:00:00.000Z";13530
"2026-02-17T19:00:00.000Z";"2026-02-17T19:15:00.000Z";13453.9
