startTime;AV01;AV02;AV04;AV05;AV06;AV07;AV08;AV09;AV10;AV12
2026-02-16 22:00:00+00:00;2082.1;184.1;984.5;0.1;963.5;0.0;0.0;357.7;944.9;169.5
2026-02-16 23:00:00+00:00;1976.8;660.0;1010.7;0.1;1067.7;0.0;0.0;417.8;880.9;590.0
2026-02-17 00:00:00+00:00;1685.3;508.0;1005.0;0.1;933.7;0.0;0.0;390.8;323.4;101.7
2026-02-17 01:00:00+00:00;1686.9;743.0;987.7;0.1;906.2;0.0;0.0;391.9;560.7;115.5
2026-02-17 02:00:00+00:00;1958.9;871.0;1026.3;0.0;906.6;0.0;0.0;392.7;171.6;38.1
2026-02-17 03:00:00+00:00;2162.3;864.1;1050.1;0.0;871.8;0.0;0.5;397.5;352.3;151.6
2026-02-17 04:00:00+00:00;2266.9;446.1;1093.0;0.2;1661.8;0.0;0.3;382.4;2455.0;1173.0
2026-02-17 05:00:00+00:00;2237.8;713.2;1075.8;0.2;1022.3;0.0;0.1;768.4;334.1;105.8
2026-02-17 06:00:00+00:00;2197.9;330.8;995.1;111.3;1583.9;0.0;0.1;839.8;1032.6;335.1
2026-02-17 07:00:00+00:00;2438.7;456.4;949.3;184.7;2728.1;0.0;1.0;871.9;1167.0;224.5
2026-02-17 08:00:00+00:00;2445.1;443.6;1008.9;286.6;3820.0;0.1;1.2;778.8;1521.5;193.2
2026-02-17 09:00:00+00:00;2491.3;31.9;1058.1;0.2;5310.5;0.3;1.7;788.7;1170.4;81.5
2026-02-17 10:00:00+00:00;2347.3;789.3;976.5;21.2;6049.8;0.3;1.1;869.3;1406.9;96.1
2026-02-17 11:00:00+00:00;2300.9;511.5;1006.4;18.2;5547.6;0.3;1.0;893.1;539.2;46.7
2026-02-17 12:00:00+00:00;2371.0;486.9;982.3;0.3;4219.2;0.3;1.0;832.1;388.0;142.5
2026-02-17 13:00:00+00:00;2232.4;618.0;1018.2;0.2;3190.2;0.2;0.7;368.5;1114.8;326.4
